id,text,locale,geography,provenance_type,real_participant,eligible_for_real_heldout,source_id,expected_operation,phenomenon,safety_expectation,expected,notes
EXT-0011,saqué 8 para la casa,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,NONE,OWNER_WITHDRAWAL_SCHEMA_GAP,OUT_OF_SCOPE_OR_CONFIRM,{},
EXT-0012,me llevó 8 unidads y me dio 12,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,IMPLICIT_PRODUCT_AND_TOTAL,NEEDS_CONTEXT,{},
EXT-0013,creo que salieron como 30,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0014,gasté 12 en transporte,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,EXPENSE,BUSINESS_EXPENSE,PROPOSE_OR_CONFIRM,"{""amount"": 12, ""category"": ""transport""}",
EXT-0015,debe haber unos 100 de venta,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0016,vendí 6 unidads de queso a 12 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""queso"", ""quantity"": 6, ""unit"": ""unidad"", ""unit_price"": 12}",
EXT-0017,se fueron 1 libras de tomate a 12 la libra,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""tomate"", ""quantity"": 1, ""unit"": ""libra"", ""unit_price"": 12}",
EXT-0018,vendí 10 libras de arroz en 2,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,PRICE_TOTAL_AMBIGUITY,NEEDS_CONFIRMATION,{},
EXT-0019,me llevó 5 unidads y me dio 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,IMPLICIT_PRODUCT_AND_TOTAL,NEEDS_CONTEXT,{},
EXT-0020,[NOMBRE_B] todavía debe lo de ayer,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_UNL_RECEIVABLES,NONE,STATE_VS_EVENT,NO_NEW_OPERATION,{},
EXT-0021,debe haber unos 40 de venta,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0022,vendí 2 unidads de naranja a 12 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""naranja"", ""quantity"": 2, ""unit"": ""unidad"", ""unit_price"": 12}",
EXT-0023,salieron 2 libras de pollo a 2,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""pollo"", ""quantity"": 2, ""unit"": ""libra"", ""unit_price"": 2}",
EXT-0024,[CLIENTE] llevó 20 y dejó 18,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,COMPOUND_OPERATION,COMPOUND_SALE_PARTIAL_PAYMENT,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0025,me pagó todo lo de ayer,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_PRIMICIAS_CASERITA_2025,PAYMENT_RECEIVED,IMPLICIT_CUSTOMER_AMOUNT_TEMPORAL,NEEDS_CONTEXT,{},
EXT-0026,me llevó 10 libras y me dio 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,IMPLICIT_PRODUCT_AND_TOTAL,NEEDS_CONTEXT,{},
EXT-0027,vendí cinco y una quedó fiada,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_UNL_RECEIVABLES,COMPOUND_OPERATION,NUMERIC_COORDINATION_CINCO_Y_UNA,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0028,de los 50 que debía me dejó 25,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_PRIMICIAS_CASERITA_2025,PAYMENT_RECEIVED,ARITHMETIC_DEBT_REFERENCE,NEEDS_CONTEXT,"{""amount"": 25}",
EXT-0029,vendí 4 libras de tomate en 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,PRICE_TOTAL_AMBIGUITY,NEEDS_CONFIRMATION,{},
EXT-0030,vendí 8 fundas de mote a 1 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""mote"", ""quantity"": 8, ""unit"": ""funda"", ""unit_price"": 1}",
EXT-0031,debe haber unos 15 de venta,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0032,puse 2 de mi plata para completar,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,NONE,OWNER_CONTRIBUTION_SCHEMA_GAP,OUT_OF_SCOPE_OR_CONFIRM,{},
EXT-0033,[CLIENTE] quedó debiendo 8,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_UNL_RECEIVABLES,RECEIVABLE,NEW_RECEIVABLE,PROPOSE_OR_CONFIRM,"{""customer"": ""[CLIENTE]"", ""amount"": 8}",
EXT-0034,12 pars de zapato a 8 cada una,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""zapato"", ""quantity"": 12, ""unit"": ""par"", ""unit_price"": 8}",
EXT-0035,vendí 12 libras de fréjol a 1 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""fréjol"", ""quantity"": 12, ""unit"": ""libra"", ""unit_price"": 1}",
EXT-0036,12 unidads de aguacate a 10 cada una,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""aguacate"", ""quantity"": 12, ""unit"": ""unidad"", ""unit_price"": 10}",
EXT-0037,vendí cinco y una quedó fiada,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_UNL_RECEIVABLES,COMPOUND_OPERATION,NUMERIC_COORDINATION_CINCO_Y_UNA,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0038,de los 6 que debía me dejó 3,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,PAYMENT_RECEIVED,ARITHMETIC_DEBT_REFERENCE,NEEDS_CONTEXT,"{""amount"": 3}",
EXT-0039,me llevó 6 libras y me dio 15,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,IMPLICIT_PRODUCT_AND_TOTAL,NEEDS_CONTEXT,{},
EXT-0040,salieron 8 libras de pollo a 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""pollo"", ""quantity"": 8, ""unit"": ""libra"", ""unit_price"": 10}",
EXT-0041,llévele una más de yapa,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,NONE,PROMOTION_NEGOTIATION,OUT_OF_CORE_OR_CONFIRM,{},
EXT-0042,[CLIENTE] quedó debiendo 5,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,RECEIVABLE,NEW_RECEIVABLE,PROPOSE_OR_CONFIRM,"{""customer"": ""[CLIENTE]"", ""amount"": 5}",
EXT-0043,[NOMBRE_B] me abonó 5,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_PRIMICIAS_CASERITA_2025,PAYMENT_RECEIVED,PARTIAL_PAYMENT,NEEDS_CONTEXT,"{""customer"": ""[NOMBRE_B]"", ""amount"": 5}",
EXT-0044,me quedan 6 libras de papa,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_10AGOSTO_2023,STOCK_ADJUSTMENT,EXPLICIT_STOCK,PROPOSE_OR_CONFIRM,"{""product"": ""papa"", ""quantity"": 6, ""unit"": ""libra""}",
EXT-0045,cobré 12 y compré mercadería por 7,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,COMPOUND_OPERATION,COMPOUND_PAYMENT_PURCHASE,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0046,saqué 20 para la casa,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,NONE,OWNER_WITHDRAWAL_SCHEMA_GAP,OUT_OF_SCOPE_OR_CONFIRM,{},
EXT-0047,bájale un poquito el precio,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,NONE,PROMOTION_NEGOTIATION,OUT_OF_CORE_OR_CONFIRM,{},
EXT-0048,vendí cinco y una quedó fiada,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,COMPOUND_OPERATION,NUMERIC_COORDINATION_CINCO_Y_UNA,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0049,vendí 12 libras de papa a 2.5 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""papa"", ""quantity"": 12, ""unit"": ""libra"", ""unit_price"": 2.5}",
EXT-0050,[NOMBRE_A] me abonó 30,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_PRIMICIAS_CASERITA_2025,PAYMENT_RECEIVED,PARTIAL_PAYMENT,NEEDS_CONTEXT,"{""customer"": ""[NOMBRE_A]"", ""amount"": 30}",
EXT-0051,vendí todo lo que quedaba de pantalón,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,IMPLICIT_QUANTITY_FROM_STOCK,NEEDS_CONTEXT,{},
EXT-0052,10 unidads de queso a 1.25 cada una,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""queso"", ""quantity"": 10, ""unit"": ""unidad"", ""unit_price"": 1.25}",
EXT-0053,debe haber unos 30 de venta,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0054,llévele una más de yapa,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,NONE,PROMOTION_NEGOTIATION,OUT_OF_CORE_OR_CONFIRM,{},
EXT-0055,gasté 3 en transporte,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,EXPENSE,BUSINESS_EXPENSE,PROPOSE_OR_CONFIRM,"{""amount"": 3, ""category"": ""transport""}",
EXT-0056,vendí 5 libras de fréjol y una quedó fiada,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,COMPOUND_OPERATION,COMPOUND_SALE_RECEIVABLE_NUMERIC_COORDINATION,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0057,me quedan 4 libras,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,STOCK_ADJUSTMENT,IMPLICIT_PRODUCT,NEEDS_CONTEXT,{},
EXT-0058,pagué 4 por traer la mercadería,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,EXPENSE,LOGISTICS_EXPENSE,PROPOSE_OR_CONFIRM,"{""amount"": 4, ""category"": ""logistics""}",
EXT-0059,me pagó todo lo de ayer,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_PRIMICIAS_CASERITA_2025,PAYMENT_RECEIVED,IMPLICIT_CUSTOMER_AMOUNT_TEMPORAL,NEEDS_CONTEXT,{},
EXT-0060,di 4 unidads de aguacate por 5 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""aguacate"", ""quantity"": 4, ""unit"": ""unidad"", ""unit_price"": 5}",
EXT-0061,me llevó 6 vasos y me dio 8,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,IMPLICIT_PRODUCT_AND_TOTAL,NEEDS_CONTEXT,{},
EXT-0062,me quedan 2 libras,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_10AGOSTO_2023,STOCK_ADJUSTMENT,IMPLICIT_PRODUCT,NEEDS_CONTEXT,{},
EXT-0063,1 libras de cebolla a 0.75 cada una,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""cebolla"", ""quantity"": 1, ""unit"": ""libra"", ""unit_price"": 0.75}",
EXT-0064,creo que salieron como 15,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0065,me llevó 10 pars y me dio 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,IMPLICIT_PRODUCT_AND_TOTAL,NEEDS_CONTEXT,{},
EXT-0066,gasté 2 en transporte,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,EXPENSE,BUSINESS_EXPENSE,PROPOSE_OR_CONFIRM,"{""amount"": 2, ""category"": ""transport""}",
EXT-0067,se fueron 3 libras de cebolla a 12 la libra,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""cebolla"", ""quantity"": 3, ""unit"": ""libra"", ""unit_price"": 12}",
EXT-0068,di 6 vasos de jugo por 1.25 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""jugo"", ""quantity"": 6, ""unit"": ""vaso"", ""unit_price"": 1.25}",
EXT-0069,me pagó todo lo de ayer,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,PAYMENT_RECEIVED,IMPLICIT_CUSTOMER_AMOUNT_TEMPORAL,NEEDS_CONTEXT,{},
EXT-0070,salieron 8 unidads de pantalón a 3,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""pantalón"", ""quantity"": 8, ""unit"": ""unidad"", ""unit_price"": 3}",
EXT-0071,vendí 4 libras de fréjol a 2 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""fréjol"", ""quantity"": 4, ""unit"": ""libra"", ""unit_price"": 2}",
EXT-0072,vendí 5 libras de cebolla a 5 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""cebolla"", ""quantity"": 5, ""unit"": ""libra"", ""unit_price"": 5}",
EXT-0073,[NOMBRE_B] llevó 8 y dejó 3,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_UNL_RECEIVABLES,COMPOUND_OPERATION,COMPOUND_SALE_PARTIAL_PAYMENT,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0074,me llevó 2 libras y me dio 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,IMPLICIT_PRODUCT_AND_TOTAL,NEEDS_CONTEXT,{},
EXT-0075,vendí todo lo que quedaba de mote,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,IMPLICIT_QUANTITY_FROM_STOCK,NEEDS_CONTEXT,{},
EXT-0076,me quedan 2 unidads de manzana,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_10AGOSTO_2023,STOCK_ADJUSTMENT,EXPLICIT_STOCK,PROPOSE_OR_CONFIRM,"{""product"": ""manzana"", ""quantity"": 2, ""unit"": ""unidad""}",
EXT-0077,vendí 5 unidads de queso y una quedó fiada,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_UNL_RECEIVABLES,COMPOUND_OPERATION,COMPOUND_SALE_RECEIVABLE_NUMERIC_COORDINATION,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0078,[NOMBRE_B] quedó debiendo 25,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_PRIMICIAS_CASERITA_2025,RECEIVABLE,NEW_RECEIVABLE,PROPOSE_OR_CONFIRM,"{""customer"": ""[NOMBRE_B]"", ""amount"": 25}",
EXT-0079,salieron 10 libras de carne a 12,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""carne"", ""quantity"": 10, ""unit"": ""libra"", ""unit_price"": 12}",
EXT-0080,vendí 2 unidads de pantalón a 12 cada uno,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""pantalón"", ""quantity"": 2, ""unit"": ""unidad"", ""unit_price"": 12}",
EXT-0081,se fueron 8 unidads a 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,IMPLICIT_PRODUCT,NEEDS_CONTEXT,{},
EXT-0082,pagué 10 por traer la mercadería,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,EXPENSE,LOGISTICS_EXPENSE,PROPOSE_OR_CONFIRM,"{""amount"": 10, ""category"": ""logistics""}",
EXT-0083,dale la yapa de camiseta,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,NONE,PROMOTION_NEGOTIATION,OUT_OF_CORE_OR_CONFIRM,{},
EXT-0084,[NOMBRE_A] me abonó 30,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_PRIMICIAS_CASERITA_2025,PAYMENT_RECEIVED,PARTIAL_PAYMENT,NEEDS_CONTEXT,"{""customer"": ""[NOMBRE_A]"", ""amount"": 30}",
EXT-0085,vendí todo lo que quedaba de mote,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,IMPLICIT_QUANTITY_FROM_STOCK,NEEDS_CONTEXT,{},
EXT-0086,salieron 3 libras de arroz a 3,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""arroz"", ""quantity"": 3, ""unit"": ""libra"", ""unit_price"": 3}",
EXT-0087,me quedan 3 libras de tomate,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_12ABRIL_2024,STOCK_ADJUSTMENT,EXPLICIT_STOCK,PROPOSE_OR_CONFIRM,"{""product"": ""tomate"", ""quantity"": 3, ""unit"": ""libra""}",
EXT-0088,hoy no hice ni 80,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0089,[CLIENTE] quedó debiendo 5,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_UNL_RECEIVABLES,RECEIVABLE,NEW_RECEIVABLE,PROPOSE_OR_CONFIRM,"{""customer"": ""[CLIENTE]"", ""amount"": 5}",
EXT-0090,vendí todo lo que quedaba de zapato,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,IMPLICIT_QUANTITY_FROM_STOCK,NEEDS_CONTEXT,{},
